=== GB203 SM → L2 Slice Affinity Report ===

Stride: 256 bytes  Strides probed: 256  Clock: 2497 MHz

Per-SM home L2 slice (lowest load latency):
  SM   HomeSlice  Latency(us)  Latency(cycles)
    0         122     130.5567              326
    1          13     130.9571              327
    2          53     127.3528              318
    3          13     126.9523              317
    4           1     126.5519              316
    5         240     125.3504              313
    6           1     126.9523              317
    7          57     126.9523              317
    8          78     132.1586              330
    9           1     132.5591              331
   10           3     137.3648              343
   11           3     136.9644              342
   12         177     127.7533              319
   13         179     127.3528              318
   14          13     122.9475              307
   15          13     122.5471              306
   16          76     120.9451              302
   17         240     121.3456              303
   18           3     122.5471              306
   19          59     122.1466              305
   20         200     127.3528              318
   21          59     128.1538              320
   22         240     132.9596              332
   23           3     132.1586              330
   24          13     122.9475              307
   25          13     122.9475              307
   26           1     118.9427              297
   27          66     117.7413              294
   28         200     117.3408              293
   29          76     116.9403              292
   30           3     118.1418              295
   31          78     117.7413              294
   32         240     123.7485              309
   33          59     124.1490              310
   34           3     128.5543              321
   35           1     128.1538              320
   36         122     126.1514              315
   37          66     125.3504              313
   38          13     125.3504              313
   39          13     125.7509              314
   40          57     124.1490              310
   41           3     124.1490              310
   42           1     125.3504              313
   43           1     124.9499              312
   44         116     130.5567              326
   45          59     130.9571              327
   46         202     135.3624              338
   47          59     135.3624              338
   48         137     121.3456              303
   49         122     121.3456              303
   50          13     120.9451              302
   51          15     120.9451              302
   52           1     119.3432              298
   53         116     118.9427              297
   54         240     120.5447              301
   55          59     120.5447              301
   56         200     126.1514              315
   57         200     125.3504              313
   58         240     130.5567              326
   59          57     130.1562              325
   60         137     115.7389              289
   61         120     116.5398              291
   62          53     114.9379              287
   63          59     114.5374              286
   64         116     115.3384              288
   65          78     116.1394              290
   66         200     121.7461              304
   67          59     121.7461              304
   68          78     125.7509              314
   69         240     126.1514              315

L2 slice occupancy (number of SMs that prefer each slice):
  Slice   1: 8 SMs
  Slice   3: 7 SMs
  Slice  13: 9 SMs
  Slice  15: 1 SMs
  Slice  53: 2 SMs
  Slice  57: 3 SMs
  Slice  59: 8 SMs
  Slice  66: 2 SMs
  Slice  76: 2 SMs
  Slice  78: 4 SMs
  Slice 116: 3 SMs
  Slice 120: 1 SMs
  Slice 122: 3 SMs
  Slice 137: 2 SMs
  Slice 177: 1 SMs
  Slice 179: 1 SMs
  Slice 200: 5 SMs
  Slice 202: 1 SMs
  Slice 240: 7 SMs

Topology inference:
  Total SMs assigned: 70
  L2 slices in use: 19
  Max SMs per slice: 9
  Avg SMs per slice: 3.7
  Pattern: custom mapping (see per-SM table)
